libCode,libName,address,tel,fax,latitude,longitude,homepage,closed,operatingTime,BookCount
127058,228도서관,대구광역시 중구 2·28길 9,053-257-2280,053-257-2284,35.8592504,128.5894055,http://library.daegu.go.kr/228lib/index.do,"매주 월요일 / 법정공휴일(일요일을 제외한 관공서 공휴일), 도서관 및 기타 사정으로 위탁기관장이 정하는 날","화~금 09:00~18:00, 토일 09:00~17:00",58298
711618,KB국민은행과 함께하는 나무 작은도서관,서울특별시 노원구 동일로 1405,070-4158-9660,-,37.6538195,127.0602181,https://www.nowonlib.kr/,"매주 토요일, 일요일 / 법정공휴일",평일 09:00 ~ 18:00,3849
148096,U보라작은도서관,"경상남도 김해시 전하로176번길 71, 반도보라아파트 주민공동시설 2층",055-324-3335,-,35.223558,128.874226,http://lib.gimhae.go.kr/01293/01298/00212.web,"매주 일요일 / 법정공휴일, 임시공휴일",-,8540
111456,가락몰도서관,서울특별시 송파구 양재대로 932,02-3435-0950,02-3435-0959,37.492994,127.112326,http://www.splib.or.kr/spalib/,"매주 월요일 / 법정공휴일, 기타 도서관 사정에 의해 관장이 정한 날",09:00 ~ 18:00,42704
141553,가산도서관,경기도 포천시 가산면 선마로 223,031-538-3987,031-538-3985,37.8484029,127.186356,https://lib.pocheon.go.kr/gasan,"매주 월요일 / 근로자의날, 법정공휴일",통합자료실 및 스터디 카페(평일 09:00~20:00 / 주말 09:00~18:00),36215
125010,가수원도서관,대전광역시 서구 가수원로 91-11,042-288-4770,042-288-5937,36.3019,127.348812,http://www.seogu.go.kr/learning/gasuwonlib/index.do,"매주 월요일 / 국경일, 정부에서 정한 공휴일, 도서관 사정으로 인한 휴관하는 날",09:00~22:00,208015
125008,가오도서관,대전광역시 동구 동구청로 147,042-259-7051,042-224-6171,36.3124314,127.4553237,https://www.donggu.go.kr/dg/lib,"매주 월요일 / 공휴일, 기타 평생학습과장이 필요하다고 인정되는 경우",08:00~22:00,119077
711613,가온 작은도서관,서울특별시 노원구 노원로 530,02-2116-2959,-,37.6612653,127.0602534,https://www.nowonlib.kr/,"매주 토요일, 일요일 / 법정공휴일",평일 09:00 ~ 18:00,12824
131059,가온누리작은도서관,"울산광역시 북구 신천소공원로 15, 108동 1층",052-292-2774,-,35.6454614,129.346506,https://usbl.bukgu.ulsan.kr/,"매주 토요일, 일요일 / 법정공휴일",-,12504
111108,가온도서관,서울특별시 중구 동호로 14길 18,02-2230-2921,02-2285-4607,37.5563885,127.010869,https://www.junggulib.or.kr,매주 월요일 / 법정공휴일,-,105530
