도서관명,도서관코드,전화번호,팩스,홈페이지,주소,휴관일,운영시간,보유도서수
강남구립못골도서관,정보없음,02-459-5522,-,https://library.gangnam.go.kr/mglib,서울특별시 강남구 자곡로 116,매주 화요일 / 법정공휴일,-,정보없음
강북청소년문화정보도서관,정보없음,02-944-3140,02-944-3149,https://www.gblib.or.kr/youth/,서울특별시 강북구 삼양로54길 68,"매월 둘째주, 넷째주 월요일 / 정부지정 공휴일, 특별한 사유로 관장이 필요하다고 인정한 경우","자료실: 평일 09:00-18:00, 주말 09:00-17:00 / 열람실: 07:00-22:00",정보없음
강서구립꿈꾸는어린이도서관,정보없음,02-3663-4025,02-3663-4024,http://lib.gangseo.seoul.kr/,서울특별시 강서구 공항대로 615,"매주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관)","3층 꿈동이자료실 : 화~일 9:00~18:00  / 4층 꿈돌이자료실 : 화~토 9:00~22:00, 일 9:00~18:00",정보없음
강서구립우장산숲속도서관,정보없음,02-2696-6689,02-2696-6692,http://lib.gangseo.seoul.kr/,서울특별시 강서구 우현로 34,"매주 월요일 / 일요일을 제외한 법정공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관)","앵두나무실 : 화~일 9:00~18:00 / 포도나무실,소나무실 : 화~토 9:00~22:00, 일 9:00~18:00",정보없음
관악중앙도서관,정보없음,02-828-5700,02-828-5810,http://lib.gwanak.go.kr/,서울특별시 관악구 신림로3길 35,"매주 월요일 / 국가공휴일(단, 일요일과 법정공휴일이 겹칠 경우 휴관), 도서관 사정으로 휴관하는 날","09시~22시(평일), 9시~17시(주말)",정보없음
구로꿈나무어린이도서관,정보없음,02-830-1623,02-857-9991,https://lib.guro.go.kr,서울특별시 구로구 구로동로26길 54,매주 화요일 / 법정공휴일,"평일 10:00~19:00(동절기 10:00~18:00), 주말 10:00~17:00",정보없음
구립구산동도서관마을,정보없음,02-357-0100,02-356-9393,http://www.gsvlib.or.kr/,서울특별시 은평구 연서로13길 29-23,"매주 월요일, 일요일을 제외한 법정공휴일, 장서 점검 및 관장이 필요하다고 인정하는 날, 기타 도서관 사정에 의한 임시 휴관일","09:00~22:00(평일), 09:00~18:00(주말)",정보없음
구립응암정보도서관,정보없음,02-308-2320,02-308-2339,http://www.ealib.or.kr/,"서울특별시 은평구 가좌로 179, 2~3층","매주 금요일 / 일요일을 제외한 법정공휴일, 도서관의 보수공사 등으로 부득이 휴관하여야 할 경우, 장서 점검 및 시설점검 등 운영상 부분적으로 휴실할 필요가 있는 경우, 기타 관장이 필요하다고 인정할 경우",09:00~18:00,정보없음
금천구립가산도서관,정보없음,02-865-6817,02-865-6820,http://geumcheonlib.seoul.kr,서울특별시 금천구 가산로5길 43,"매월 두번째, 네번재 월요일 / 법정공휴일",종합자료실 09:00 ~ 22:00 / 09:00 ~ 17:00(주말) / 어린이자료실 09:00 ~ 18:00 / 09:00 ~ 17:00(주말) / 북스테이 07:00 ~ 22:00 / 07:00 ~ 22:00(주말),정보없음
금천구립금나래도서관,정보없음,02-2627-2991,02-2627-2995,http://geumcheonlib.seoul.kr,서울특별시 금천구 시흥대로73길 70,매월 마지막주 일요일 / 법정공휴일,09:00 ~ 22:00,정보없음
